"State","Response","Coverage","Education","EmploymentStatus","Gender","Location_Code","Marital_Status","Policy_Type","Policy","Renew_Offer_Type","Sales_Channel","Vehicle_Class","Vehicle_Size","Customer_Lifetime_Value","Income","Monthly_Premium_Auto","Months_Since_Last_Claim","Months_Since_Policy_Inception","Number_of_Open_Complaints","Number_of_Policies","Total_Claim_Amount"
5,0,3,3,2,1,2,2,2,6,1,1,6,2,-0.762835963542036,0.612793889722133,-0.703886117451731,1.67800747069608,-1.54320246710431,-0.422226443611693,-0.822602843243485,-0.169630401859889
1,0,2,3,5,1,2,3,3,9,3,1,1,2,-0.149237288026204,-1.23954898274596,0.0226897866076072,-0.208175003197787,-0.217322290118714,-0.422226443611693,2.10604466448534,2.40060557763868
3,0,1,3,2,1,2,2,3,9,1,1,6,2,0.710597320976234,0.365689757376503,0.429572292880836,0.288188805721652,-0.36066068763067,-0.422226443611693,-0.404224627853653,0.455708815323976
2,0,3,3,5,2,2,2,2,5,1,3,5,2,-0.0522602737277273,-1.23954898274596,0.371446220556089,0.288188805721652,0.606873495575037,-0.422226443611693,1.68766644909551,0.329750497125579
5,0,3,3,2,2,3,3,3,7,1,1,1,2,-0.755533746611341,0.20337851765407,-0.587633972802237,-0.307447764981674,-0.145653091362735,-0.422226443611693,-0.822602843243485,-1.0187876825646
4,1,3,3,2,1,3,2,3,9,2,4,6,2,0.0365825221919547,0.830964422449832,-0.703886117451731,-0.108902241413899,1.64607687753672,-0.422226443611693,-0.404224627853653,-0.945630518075977
4,1,3,4,2,1,2,2,2,6,1,1,1,2,-0.381902810281851,0.582379047802943,-0.762012189776478,-1.49872090638833,-1.2565256720804,-0.422226443611693,2.52442287987517,-0.38722464290695
1,0,1,2,5,2,1,3,2,6,1,1,1,2,-0.114807725629159,-1.23954898274596,0.226131039744222,-1.49872090638833,0.714377293709004,-0.422226443611693,0.432531802926011,-0.244609610523143
4,1,3,3,3,2,2,1,2,6,1,1,1,2,2.34647643010332,-0.776348056894397,-0.645760045126984,-0.208175003197787,-1.61487166586029,-0.422226443611693,-0.404224627853653,0.265442964952194
4,0,2,4,2,1,1,2,1,2,2,2,1,2,-0.0897635420718522,-0.291158911993026,-0.00637324955476632,0.188916043937764,-1.47153326834833,-0.422226443611693,2.10604466448534,-0.0294697335885838
2,0,3,4,5,2,2,3,3,9,1,1,1,1,-0.475325840426727,-1.23954898274596,-0.762012189776478,0.78455261464109,-1.54320246710431,-0.422226443611693,0.0141535875361788,0.166303581479919
2,0,3,4,5,1,2,2,3,9,2,1,5,2,0.027981008494216,-1.23954898274596,0.487698365205583,1.18164366177664,1.3952346818908,-0.422226443611693,0.0141535875361788,0.323274271977688
2,0,1,2,2,2,1,2,2,4,2,1,1,2,0.115537806792653,1.29587700607174,0.487698365205583,-0.605266050333337,1.21606168500085,1.774649851432,0.0141535875361788,0.13060561341515
1,1,3,5,2,2,2,2,2,6,2,2,5,2,0.118480904788837,2.04699851879253,0.487698365205583,0.78455261464109,-0.826510479544529,0.676211703910153,2.10604466448534,0.323274271977688
2,0,3,4,2,2,1,3,2,6,4,3,1,2,-0.381388613562934,1.51519961614487,-0.674823081289357,0.586007091073315,-1.36402947021437,1.774649851432,2.10604466448534,-0.437003862976185
4,0,3,3,2,1,3,2,2,5,2,2,1,2,-0.0788536824606923,-0.429836107886478,-0.849201298263598,-0.307447764981674,0.0693545049051996,0.676211703910153,-0.404224627853653,-1.34653493871531
3,0,3,5,3,2,2,2,3,9,2,3,6,2,-0.791456598539764,-0.415023684873885,-0.762012189776478,-0.108902241413899,-1.47153326834833,-0.422226443611693,-0.822602843243485,0.0693848444659496
2,0,3,4,3,2,2,2,3,8,3,3,5,2,-0.590848203977763,-0.289743502682934,0.226131039744222,-0.307447764981674,0.391865899307102,-0.422226443611693,-0.822602843243485,0.734434317603257
4,0,3,4,2,2,1,2,3,8,2,2,1,2,-0.33395694620889,0.44406393336091,-0.61669700896461,-0.605266050333337,-1.68654086461627,-0.422226443611693,1.68766644909551,-0.430661241916881
2,0,1,5,2,1,2,2,2,5,1,3,1,1,0.0229482348048246,0.937548035149333,0.226131039744222,-0.406720526765562,-0.969848877056485,-0.422226443611693,0.0141535875361788,0.174565196769276
4,0,3,5,2,2,2,3,3,8,1,2,6,2,-0.747040227018988,0.661345720707854,-0.558570936639863,1.57873470891219,-0.969848877056485,-0.422226443611693,-0.822602843243485,-0.271562028855963
5,0,2,3,1,1,2,1,3,9,4,3,1,2,-0.722336240961253,-0.785663425144539,-0.413255755827996,-0.704538812117225,0.0335199055272104,-0.422226443611693,-0.822602843243485,-0.1889458759624
1,1,3,3,3,2,2,1,3,9,1,1,1,2,2.34647643010332,-0.776348056894397,-0.645760045126984,-0.208175003197787,-1.61487166586029,-0.422226443611693,-0.404224627853653,0.265442964952194
3,0,3,3,5,1,2,3,2,6,1,2,1,2,-0.808437733315904,-1.23954898274596,-0.587633972802237,-1.10162985925278,-0.145653091362735,2.87308799895384,-0.822602843243485,0.414072050512908
2,0,3,3,1,1,2,2,2,5,2,2,1,2,-0.816891143273674,-0.651331206668115,-0.936390406750719,1.4794619471283,1.53857307940275,-0.422226443611693,-0.822602843243485,0.0175945062715066
4,0,3,4,2,2,2,2,3,9,2,3,1,3,-0.320606153681731,1.97115891296805,-0.61669700896461,0.685279852857202,-1.68654086461627,-0.422226443611693,0.0141535875361788,-0.154574093364936
